10,-1
10,0
11,-1
11,-2
11,-3
11,-4
11,0
12,-1
12,-2
12,-3
12,-4
13,-1
13,-2
13,-3
13,-4
14,-1
14,-2
14,-3
14,-4
15,-1
15,-2
15,-3
15,-4
20,-10
20,-3
20,-4
20,-5
20,-6
20,-7
20,-8
20,-9
21,-10
21,-3
21,-4
21,-5
21,-6
21,-7
21,-8
21,-9
22,-10
22,-3
22,-4
22,-5
22,-6
22,-7
22,-8
22,-9
23,-10
23,-3
23,-4
23,-5
23,-6
23,-7
23,-8
23,-9
24,-10
24,-3
24,-4
24,-5
24,-6
24,-7
24,-8
24,-9
25,-10
25,-3
25,-4
25,-5
25,-6
25,-7
25,-8
25,-9
26,-10
26,-3
26,-4
26,-5
26,-6
26,-7
26,-8
26,-9
27,-10
27,-3
27,-4
27,-5
27,-6
27,-7
27,-8
27,-9
28,-10
28,-3
28,-4
28,-5
28,-6
28,-7
28,-8
28,-9
29,-10
29,-3
29,-4
29,-5
29,-6
29,-7
29,-8
29,-9
6,1
7,0
7,1
8,-1
8,0
8,1
9,-1
9,0
